"timestamp","value"
"1980-01-01",1.809
"1981-01-01",1.186
"1982-01-01",2.404
"1983-01-01",1.262
"1984-01-01",1.673
"1985-01-01",1.67
"1986-01-01",2.325
"1987-01-01",2.567
"1988-01-01",4.67
"1989-01-01",4.585
"1990-01-01",2.793
"1991-01-01",1.292
"1992-01-01",1.408
"1993-01-01",-0.425
"1994-01-01",2.403
"1995-01-01",2.457
"1996-01-01",1.347
"1997-01-01",2.515
"1998-01-01",3.466
"1999-01-01",3.261
"2000-01-01",4.364
"2001-01-01",1.846
"2002-01-01",1.12
"2003-01-01",0.994
"2004-01-01",2.519
"2005-01-01",1.987
"2006-01-01",2.93
"2007-01-01",2.486
"2008-01-01",0.264
"2009-01-01",-2.732
"2010-01-01",1.843
"2011-01-01",2.485
"2012-01-01",0.222
"2013-01-01",0.916
"2014-01-01",1.02
"2015-01-01",0.986
"2016-01-01",0.722
"2017-01-01",2.294
"2018-01-01",1.585
"2019-01-01",2.075
"2020-01-01",-7.594
"2021-01-01",6.83
"2022-01-01",2.619
"2023-01-01",1.12
"2024-01-01",1.098
"2025-01-01",1.056
"2026-01-01",1.348
"2027-01-01",1.419
"2028-01-01",1.441
"2029-01-01",1.348
