date,DS.OILBREN.WLD.COLLAPSE.M
01/01/2003,30.80869565
01/02/2003,32.6625
01/03/2003,30.16809524
01/04/2003,25.035
01/05/2003,25.71454545
01/06/2003,27.56666667
01/07/2003,28.50391304
01/08/2003,29.71809524
01/09/2003,27.04409091
01/10/2003,29.43565217
01/11/2003,28.9485
01/12/2003,29.74347826
01/01/2004,30.98181818
01/02/2004,30.795
01/03/2004,33.42434783
01/04/2004,33.35772727
01/05/2004,37.58904762
01/06/2004,35.43772727
01/07/2004,38.22681818
01/08/2004,42.22409091
01/09/2004,43.31590909
01/10/2004,49.73619048
01/11/2004,43.74863636
01/12/2004,39.96565217
01/01/2005,44.1747619
01/02/2005,45.721
01/03/2005,53.22913043
01/04/2005,52.60428571
01/05/2005,49.28545455
01/06/2005,54.83909091
01/07/2005,57.62571429
01/08/2005,63.95043478
01/09/2005,63.26136364
01/10/2005,58.90857143
01/11/2005,55.44954545
01/12/2005,57.15681818
01/01/2006,63.31181818
01/02/2006,60.8055
01/03/2006,62.74695652
01/04/2006,70.34
01/05/2006,70.51
01/06/2006,69.23272727
01/07/2006,74.04095238
01/08/2006,73.50043478
01/09/2006,62.52714286
01/10/2006,58.75818182
01/11/2006,59.22272727
01/12/2006,62.26047619
01/01/2007,54.50304348
01/02/2007,57.9695
01/03/2007,62.35727273
01/04/2007,67.69047619
01/05/2007,67.71782609
01/06/2007,70.61904762
01/07/2007,76.13318182
01/08/2007,71.31304348
01/09/2007,76.772
01/10/2007,82.5073913
01/11/2007,92.73136364
01/12/2007,91.51952381
01/01/2008,92.09173913
01/02/2008,94.72238095
01/03/2008,103.1619048
01/04/2008,110.0331818
01/05/2008,123.8622727
01/06/2008,132.7604762
01/07/2008,133.5852174
01/08/2008,113.8004762
01/09/2008,98.75545455
01/10/2008,71.96347826
01/11/2008,52.7135
01/12/2008,40.51173913
01/01/2009,43.17454545
01/02/2009,42.9105
01/03/2009,46.58272727
01/04/2009,50.51909091
01/05/2009,57.50142857
01/06/2009,68.58
01/07/2009,64.90434783
01/08/2009,72.59190476
01/09/2009,67.51318182
01/10/2009,72.96863636
01/11/2009,76.93666667
01/12/2009,74.78956522
01/01/2010,76.60238095
01/02/2010,73.903
01/03/2010,79.51913043
01/04/2010,85.15636364
01/05/2010,76.13238095
01/06/2010,75.24636364
01/07/2010,75.195
01/08/2010,76.89181818
01/09/2010,77.93818182
01/10/2010,83.33857143
01/11/2010,85.80090909
01/12/2010,91.96
01/01/2011,96.95238095
01/02/2011,104.2385
01/03/2011,114.9173913
01/04/2011,123.3257143
01/05/2011,114.9295455
01/06/2011,114.3704545
01/07/2011,117.4833333
01/08/2011,110.3547826
01/09/2011,111.9627273
01/10/2011,110.4295238
01/11/2011,111.1586364
01/12/2011,108.3477273
01/01/2012,111.415
01/02/2012,119.1657143
01/03/2012,124.7031818
01/04/2012,120.47
01/05/2012,110.8221739
01/06/2012,95.88904762
01/07/2012,102.9795455
01/08/2012,113.7804348
01/09/2012,113.6415
01/10/2012,111.7926087
01/11/2012,109.9118182
01/12/2012,109.3452381
01/01/2013,112.1869565
01/02/2013,116.154
01/03/2013,109.4728571
01/04/2013,103.2286364
01/05/2013,102.9747826
01/06/2013,103.41
01/07/2013,107.3826087
01/08/2013,110.3886364
01/09/2013,111.3961905
01/10/2013,109.3443478
01/11/2013,107.9942857
01/12/2013,110.825
01/01/2014,107.4765217
01/02/2014,108.735
01/03/2014,107.7285714
01/04/2014,108.1172727
01/05/2014,109.4518182
01/06/2014,112.1409524
01/07/2014,108.1621739
01/08/2014,102.9928571
01/09/2014,98.36181818
01/10/2014,87.84347826
01/11/2014,79.665
01/12/2014,63.03956522
01/01/2015,49.415
01/02/2015,58.5395
01/03/2015,56.54136364
01/04/2015,60.26636364
01/05/2015,65.36428571
01/06/2015,63.19227273
01/07/2015,56.71782609
01/08/2015,47.53571429
01/09/2015,48.21954545
01/10/2015,49.07727273
01/11/2015,45.69809524
01/12/2015,38.70913043
01/01/2016,32.13619048
01/02/2016,33.75857143
01/03/2016,39.8326087
01/04/2016,43.32380952
01/05/2016,47.82818182
01/06/2016,49.93590909
